Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,Reached,Warehouse_block_A,Warehouse_block_B,Warehouse_block_C,Warehouse_block_D,Warehouse_block_F,Mode_of_Shipment_Flight,Mode_of_Shipment_Road,Mode_of_Shipment_Ship
1.36624694765388,2,351.3936308941268,0.587310455447968,1,0,3.226581811939225,1065.0146411135838,1,0,0,0,1,0,1,0,0
1.8297402932791154,5,473.65979970441015,0.8486647062127974,1,1,3.226581811939225,1882.89841595431,1,0,0,0,0,1,1,0,0
2.2261663698147203,2,295.7756229186692,0.8486647062127974,1,1,2.66108841731092,901.7751593636053,1,1,0,0,0,0,1,0,0
1.8297402932791154,3,456.5810809580306,0.8486647062127974,2,1,2.1012950687911434,2928.6499899452,1,0,1,0,0,0,1,0,0
2.5762192759708364,2,425.10373719841766,1.190723760477475,2,0,1.9143155311334452,2538.9245083699057,1,0,0,1,0,0,1,0,0
1.36624694765388,1,473.65979970441015,0.8486647062127974,2,0,1.9143155311334452,3069.375025257483,1,0,0,0,0,1,1,0,0
1.8297402932791154,4,389.1903224918855,0.8486647062127974,1,0,1.3115558579800817,1681.0792343491594,1,0,0,0,1,0,1,0,0
1.8297402932791154,1,420.2895979754233,1.190723760477475,1,0,0.0,2926.4471734784734,1,0,0,0,0,1,1,0,0
1.8297402932791154,4,259.48743024444093,0.8486647062127974,1,0,2.4325483666772088,666.3440648624307,1,1,0,0,0,0,1,0,0
1.36624694765388,2,391.5704852043533,1.0048969774346408,2,0,1.80080395058012,2815.0399953673177,1,0,1,0,0,0,1,0,0
2.5762192759708364,4,522.9310258629453,1.190723760477475,2,1,2.0134294664851207,3213.44321021558,1,0,0,1,0,0,1,0,0
2.2261663698147203,5,572.8684263910034,1.11173301037884,2,0,2.0134294664851207,2681.6858922304373,1,0,0,0,0,1,1,0,0
0.7939978377853153,5,328.0556542018223,0.8486647062127974,2,0,2.1012950687911434,2448.0667336576566,1,0,0,0,1,0,1,0,0
1.8297402932791154,4,302.65274229587783,0.8486647062127974,3,1,2.1012950687911434,1090.5474205858177,1,0,0,0,0,1,1,0,0
1.36624694765388,3,365.503269966152,1.0048969774346408,1,1,0.0,2941.8642693656166,1,1,0,0,0,0,1,0,0
